date,value
2004-01,5
2004-02,3
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,5
2004-10,5
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,6
2006-03,0
2006-04,1
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,1
2007-04,2
2007-05,0
2007-06,0
2007-07,0
2007-08,1
2007-09,0
2007-10,1
2007-11,0
2007-12,1
2008-01,1
2008-02,0
2008-03,1
2008-04,0
2008-05,2
2008-06,0
2008-07,0
2008-08,1
2008-09,1
2008-10,0
2008-11,<1
2008-12,0
2009-01,1
2009-02,<1
2009-03,<1
2009-04,0
2009-05,0
2009-06,<1
2009-07,0
2009-08,<1
2009-09,1
2009-10,1
2009-11,0
2009-12,1
2010-01,<1
2010-02,0
2010-03,<1
2010-04,<1
2010-05,1
2010-06,1
2010-07,<1
2010-08,1
2010-09,0
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,1
2011-04,1
2011-05,<1
2011-06,<1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,2
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,<1
2012-05,1
2012-06,2
2012-07,2
2012-08,2
2012-09,1
2012-10,1
2012-11,2
2012-12,1
2013-01,2
2013-02,2
2013-03,3
2013-04,3
2013-05,3
2013-06,3
2013-07,3
2013-08,3
2013-09,2
2013-10,2
2013-11,2
2013-12,2
2014-01,4
2014-02,4
2014-03,5
2014-04,5
2014-05,6
2014-06,4
2014-07,5
2014-08,6
2014-09,7
2014-10,6
2014-11,5
2014-12,6
2015-01,12
2015-02,11
2015-03,11
2015-04,12
2015-05,14
2015-06,12
2015-07,12
2015-08,12
2015-09,12
2015-10,13
2015-11,17
2015-12,14
2016-01,25
2016-02,22
2016-03,21
2016-04,26
2016-05,28
2016-06,26
2016-07,27
2016-08,27
2016-09,26
2016-10,21
2016-11,20
2016-12,20
2017-01,41
2017-02,37
2017-03,34
2017-04,34
2017-05,67
2017-06,56
2017-07,53
2017-08,52
2017-09,45
2017-10,40
2017-11,42
2017-12,40
2018-01,59
2018-02,59
2018-03,68
2018-04,60
2018-05,59
2018-06,59
2018-07,63
2018-08,58
2018-09,51
2018-10,46
2018-11,41
2018-12,44
2019-01,70
2019-02,69
2019-03,68
2019-04,66
2019-05,58
2019-06,65
2019-07,65
2019-08,61
2019-09,55
2019-10,51
2019-11,51
2019-12,50
2020-01,75
2020-02,78
2020-03,69
2020-04,98
2020-05,100
2020-06,76
2020-07,77
2020-08,65
2020-09,64
2020-10,60
2020-11,55
2020-12,51
2021-01,77
2021-02,77
2021-03,85
2021-04,72
2021-05,69
2021-06,62
2021-07,67
2021-08,57
2021-09,56
2021-10,53
2021-11,52
2021-12,50
2022-01,71
2022-02,67
2022-03,62
2022-04,62
2022-05,62
2022-06,59
2022-07,67
2022-08,63
2022-09,61
2022-10,50
2022-11,47
2022-12,46
2023-01,67